2017-05-02 13:22:23,683 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2017-05-02 13:22:23,694 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-05-02 13:22:23,731 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-05-02 13:22:23,836 [main] INFO  marytts.Voice Registering voice `dfki-poppy-hsmm': female, locale en_GB
2017-05-02 13:22:23,836 [main] INFO  marytts.Voice New default voice for locale en_GB: dfki-poppy-hsmm (desire 0)
2017-05-02 13:22:23,838 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-05-02 13:22:23,861 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-05-02 13:22:23,932 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2017-05-02 13:22:23,932 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2017-05-02 13:22:23,934 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-05-02 13:22:23,988 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-05-02 13:22:24,094 [main] INFO  marytts.Voice Registering voice `dfki-prudence-hsmm': female, locale en_GB
2017-05-02 13:22:24,094 [main] INFO  marytts.HMMSynthesizer started.
2017-05-02 13:22:24,094 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2017-05-02 13:22:24,094 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2017-05-02 13:22:24,094 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2017-05-02 13:22:24,095 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2017-05-02 13:22:24,095 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2017-05-02 13:22:24,095 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2017-05-02 13:22:24,095 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2017-05-02 13:22:24,095 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2017-05-02 13:22:24,208 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2017-05-02 13:22:24,209 [main] INFO  marytts.SableParser Starting power-on self test.
2017-05-02 13:22:24,209 [main] INFO  marytts.SableParser Power-on self test complete.
2017-05-02 13:22:24,249 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2017-05-02 13:22:24,249 [main] INFO  marytts.SSMLParser Starting power-on self test.
2017-05-02 13:22:24,249 [main] INFO  marytts.SSMLParser Power-on self test complete.
2017-05-02 13:22:24,286 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2017-05-02 13:22:24,287 [main] INFO  marytts.APMLParser Starting power-on self test.
2017-05-02 13:22:24,287 [main] INFO  marytts.APMLParser Power-on self test complete.
2017-05-02 13:22:24,307 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2017-05-02 13:22:24,307 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2017-05-02 13:22:24,308 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2017-05-02 13:22:24,308 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2017-05-02 13:22:24,316 [main] INFO  marytts.JTokeniser Starting power-on self test.
