2017-05-02 13:20:31,662 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2017-05-02 13:20:31,675 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-05-02 13:20:31,711 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-05-02 13:20:31,796 [main] INFO  marytts.Voice Registering voice `dfki-poppy-hsmm': female, locale en_GB
2017-05-02 13:20:31,797 [main] INFO  marytts.Voice New default voice for locale en_GB: dfki-poppy-hsmm (desire 0)
2017-05-02 13:20:31,799 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-05-02 13:20:31,842 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-05-02 13:20:31,915 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2017-05-02 13:20:31,916 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2017-05-02 13:20:31,918 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-05-02 13:20:31,961 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-05-02 13:20:32,062 [main] INFO  marytts.Voice Registering voice `dfki-prudence-hsmm': female, locale en_GB
2017-05-02 13:20:32,062 [main] INFO  marytts.HMMSynthesizer started.
2017-05-02 13:20:32,062 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2017-05-02 13:20:32,062 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2017-05-02 13:20:32,062 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2017-05-02 13:20:32,062 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2017-05-02 13:20:32,062 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2017-05-02 13:20:32,063 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2017-05-02 13:20:32,063 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2017-05-02 13:20:32,063 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2017-05-02 13:20:32,243 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2017-05-02 13:20:32,243 [main] INFO  marytts.SableParser Starting power-on self test.
2017-05-02 13:20:32,243 [main] INFO  marytts.SableParser Power-on self test complete.
2017-05-02 13:20:32,282 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2017-05-02 13:20:32,282 [main] INFO  marytts.SSMLParser Starting power-on self test.
2017-05-02 13:20:32,282 [main] INFO  marytts.SSMLParser Power-on self test complete.
2017-05-02 13:20:32,315 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2017-05-02 13:20:32,315 [main] INFO  marytts.APMLParser Starting power-on self test.
2017-05-02 13:20:32,315 [main] INFO  marytts.APMLParser Power-on self test complete.
2017-05-02 13:20:32,333 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2017-05-02 13:20:32,333 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2017-05-02 13:20:32,334 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
